state_id,failure_category,current_method,amount_minor,no_action_probability,NO_ACTION_action,NO_ACTION_recovery_probability,NO_ACTION_merchant_value_minor,BLANKET_NUDGE_action,BLANKET_NUDGE_recovery_probability,BLANKET_NUDGE_merchant_value_minor,RULE_BASED_action,RULE_BASED_recovery_probability,RULE_BASED_merchant_value_minor,S_LEARNER_RECOVERY_MAX_action,S_LEARNER_RECOVERY_MAX_recovery_probability,S_LEARNER_RECOVERY_MAX_merchant_value_minor,ECONOMIC_GOVERNOR_action,ECONOMIC_GOVERNOR_recovery_probability,ECONOMIC_GOVERNOR_merchant_value_minor,ECONOMIC_ORACLE_action,ECONOMIC_ORACLE_recovery_probability,ECONOMIC_ORACLE_merchant_value_minor
93,USER_CANCELLED,UPI,441278,0.46,NO_ACTION,0.46,71045.758,NUDGE,0.52,80112.59599999999,NUDGE,0.52,80112.59599999999,NUDGE,0.52,80112.59599999999,NUDGE,0.52,80112.59599999999,NUDGE,0.52,80112.59599999999
94,INSTRUMENT_UNAVAILABLE,CREDIT_CARD,162265,0.18,NO_ACTION,0.18,10222.695,NUDGE,0.24,13430.26,SWITCH_UPI,0.3,16987.825,SWITCH_DEBIT_CARD,0.34,19259.535,SWITCH_DEBIT_CARD,0.34,19259.535,SWITCH_DEBIT_CARD,0.34,19259.535
95,BANK_OR_PROVIDER_UNAVAILABLE,CREDIT_CARD,100332,0.7,NO_ACTION,0.7,24581.339999999997,NUDGE,0.88,30702.255999999998,SWITCH_UPI,0.68,23829.016,SWITCH_DEBIT_CARD,0.68,23829.016,SWITCH_DEBIT_CARD,0.68,23829.016,NUDGE,0.88,30702.255999999998
96,ISSUER_DECLINED,NETBANKING,88750,0.76,NO_ACTION,0.76,23607.499999999996,NO_ACTION,0.76,23607.499999999996,NO_ACTION,0.76,23607.499999999996,SWITCH_DEBIT_CARD,0.8,24800.0,SWITCH_DEBIT_CARD,0.8,24800.0,SWITCH_CREDIT_CARD,0.82,25421.249999999996
97,USER_CANCELLED,UPI,121159,0.78,NO_ACTION,0.78,33076.407,NO_ACTION,0.78,33076.407,NO_ACTION,0.78,33076.407,OFFER_5,0.78,28351.206,NO_ACTION,0.78,33076.407,NO_ACTION,0.78,33076.407
98,USER_CANCELLED,UPI,69749,0.62,NO_ACTION,0.62,15135.533,NO_ACTION,0.62,15135.533,NO_ACTION,0.62,15135.533,NO_ACTION,0.62,15135.533,NO_ACTION,0.62,15135.533,SWITCH_NETBANKING,0.68,16550.262
99,AUTHENTICATION_FAILURE,UPI,153805,0.62,NO_ACTION,0.62,33375.685,NUDGE,0.68,36405.590000000004,NO_ACTION,0.62,33375.685,NUDGE,0.68,36405.590000000004,NUDGE,0.68,36405.590000000004,NUDGE,0.68,36405.590000000004
100,USER_CANCELLED,UPI,88463,0.72,NO_ACTION,0.72,22292.676,NO_ACTION,0.72,22292.676,NO_ACTION,0.72,22292.676,NO_ACTION,0.72,22292.676,NO_ACTION,0.72,22292.676,NO_ACTION,0.72,22292.676
101,AUTHENTICATION_FAILURE,UPI,76451,0.84,NO_ACTION,0.84,22476.593999999997,NO_ACTION,0.84,22476.593999999997,NO_ACTION,0.84,22476.593999999997,NO_ACTION,0.84,22476.593999999997,NO_ACTION,0.84,22476.593999999997,NO_ACTION,0.84,22476.593999999997
102,ISSUER_DECLINED,NETBANKING,344326,0.44,NO_ACTION,0.44,53026.204,NUDGE,0.46,55236.486,NUDGE,0.46,55236.486,SWITCH_CREDIT_CARD,0.48,57796.768,SWITCH_CREDIT_CARD,0.48,57796.768,SWITCH_UPI,0.48,57796.768
103,ISSUER_DECLINED,UPI,341198,0.44,NO_ACTION,0.44,52544.492,NO_ACTION,0.44,52544.492,NO_ACTION,0.44,52544.492,OFFER_5,0.44,45038.136,SWITCH_DEBIT_CARD,0.5,59659.649999999994,SWITCH_CREDIT_CARD,0.5,59659.649999999994
104,AUTHENTICATION_FAILURE,UPI,203071,0.62,NO_ACTION,0.62,44066.40699999999,NUDGE,0.66,46709.401,NO_ACTION,0.62,44066.40699999999,NUDGE,0.66,46709.401,NUDGE,0.66,46709.401,NUDGE,0.66,46709.401
105,INSTRUMENT_UNAVAILABLE,DEBIT_CARD,158861,0.36,NO_ACTION,0.36,20016.485999999997,NO_ACTION,0.36,20016.485999999997,SWITCH_UPI,0.46,25526.621,SWITCH_UPI,0.46,25526.621,SWITCH_UPI,0.46,25526.621,SWITCH_UPI,0.46,25526.621
106,TECHNICAL_FAILURE,UPI,145907,0.64,NO_ACTION,0.64,32683.167999999998,NUDGE,0.7,35547.215,SWITCH_NETBANKING,0.64,32633.167999999998,SWITCH_NETBANKING,0.64,32633.167999999998,SWITCH_NETBANKING,0.64,32633.167999999998,NUDGE,0.7,35547.215
107,USER_CANCELLED,UPI,226863,0.64,NO_ACTION,0.64,50817.31199999999,NUDGE,0.7,55381.43499999999,NO_ACTION,0.64,50817.31199999999,NUDGE,0.7,55381.43499999999,NUDGE,0.7,55381.43499999999,NUDGE,0.7,55381.43499999999
108,USER_CANCELLED,UPI,296494,0.48,NO_ACTION,0.48,49810.992,NUDGE,0.54,55837.366,NUDGE,0.54,55837.366,NUDGE,0.54,55837.366,NUDGE,0.54,55837.366,NUDGE,0.54,55837.366
109,AUTHENTICATION_FAILURE,UPI,218775,0.78,NO_ACTION,0.78,59725.575000000004,NO_ACTION,0.78,59725.575000000004,NO_ACTION,0.78,59725.575000000004,NO_ACTION,0.78,59725.575000000004,NO_ACTION,0.78,59725.575000000004,SWITCH_NETBANKING,0.9,68864.125
110,AUTHENTICATION_FAILURE,UPI,263070,0.48,NO_ACTION,0.48,44195.759999999995,NUDGE,0.62,56886.19,NO_ACTION,0.48,44195.759999999995,NUDGE,0.62,56886.19,NUDGE,0.62,56886.19,NUDGE,0.62,56886.19
111,AUTHENTICATION_FAILURE,DEBIT_CARD,184156,0.7,NO_ACTION,0.7,45118.219999999994,NUDGE,0.72,46207.312,NO_ACTION,0.7,45118.219999999994,NUDGE,0.72,46207.312,NUDGE,0.72,46207.312,SWITCH_UPI,0.78,50224.588
112,USER_CANCELLED,UPI,207549,0.58,NO_ACTION,0.58,42132.44699999999,NUDGE,0.72,52102.34799999999,NUDGE,0.72,52102.34799999999,NUDGE,0.72,52102.34799999999,NUDGE,0.72,52102.34799999999,NUDGE,0.72,52102.34799999999
113,AUTHENTICATION_FAILURE,UPI,158439,0.68,NO_ACTION,0.68,37708.481999999996,NO_ACTION,0.68,37708.481999999996,NO_ACTION,0.68,37708.481999999996,OFFER_5,0.68,32321.556,SWITCH_DEBIT_CARD,0.7,38767.55499999999,SWITCH_DEBIT_CARD,0.7,38767.55499999999
114,ISSUER_DECLINED,UPI,112575,0.56,NO_ACTION,0.56,22064.7,NO_ACTION,0.56,22064.7,NO_ACTION,0.56,22064.7,OFFER_5,0.56,18912.600000000002,NO_ACTION,0.56,22064.7,SWITCH_CREDIT_CARD,0.66,25954.825
115,ISSUER_DECLINED,UPI,58144,0.66,NO_ACTION,0.66,13431.264,NO_ACTION,0.66,13431.264,NO_ACTION,0.66,13431.264,SWITCH_CREDIT_CARD,0.66,13381.264,NO_ACTION,0.66,13431.264,SWITCH_DEBIT_CARD,0.68,13788.271999999999
116,AUTHENTICATION_FAILURE,UPI,133771,0.78,NO_ACTION,0.78,36519.483,NO_ACTION,0.78,36519.483,NO_ACTION,0.78,36519.483,NO_ACTION,0.78,36519.483,NO_ACTION,0.78,36519.483,SWITCH_DEBIT_CARD,0.82,38342.276999999995
117,USER_CANCELLED,CREDIT_CARD,174125,0.78,NO_ACTION,0.78,47536.12499999999,NUDGE,0.92,55868.24999999999,NUDGE,0.92,55868.24999999999,NUDGE,0.92,55868.24999999999,NUDGE,0.92,55868.24999999999,NUDGE,0.92,55868.24999999999
118,AUTHENTICATION_FAILURE,UPI,344784,0.68,NO_ACTION,0.68,82058.592,NO_ACTION,0.68,82058.592,NO_ACTION,0.68,82058.592,NO_ACTION,0.68,82058.592,NO_ACTION,0.68,82058.592,SWITCH_NETBANKING,0.74,89249.056
119,ISSUER_DECLINED,UPI,104537,0.6,NO_ACTION,0.6,21952.769999999997,NO_ACTION,0.6,21952.769999999997,NO_ACTION,0.6,21952.769999999997,SWITCH_NETBANKING,0.66,24098.047,SWITCH_NETBANKING,0.66,24098.047,SWITCH_NETBANKING,0.66,24098.047
120,USER_CANCELLED,CREDIT_CARD,194441,0.72,NO_ACTION,0.72,48999.13199999999,NO_ACTION,0.72,48999.13199999999,NO_ACTION,0.72,48999.13199999999,NO_ACTION,0.72,48999.13199999999,NO_ACTION,0.72,48999.13199999999,SWITCH_UPI,0.76,51671.306
121,INSUFFICIENT_FUNDS,UPI,184563,0.36,NO_ACTION,0.36,23254.938,NO_ACTION,0.36,23254.938,SWITCH_DEBIT_CARD,0.4,25788.82,SWITCH_DEBIT_CARD,0.4,25788.82,SWITCH_DEBIT_CARD,0.4,25788.82,SWITCH_NETBANKING,0.42,27080.761
122,AUTHENTICATION_FAILURE,NETBANKING,236932,0.84,NO_ACTION,0.84,69658.008,NO_ACTION,0.84,69658.008,NO_ACTION,0.84,69658.008,SWITCH_UPI,0.86,71266.53199999999,SWITCH_UPI,0.86,71266.53199999999,SWITCH_UPI,0.86,71266.53199999999
123,INSUFFICIENT_FUNDS,DEBIT_CARD,209815,0.6,NO_ACTION,0.6,44061.15,NO_ACTION,0.6,44061.15,SWITCH_NETBANKING,0.66,48417.265,SWITCH_UPI,0.68,49885.97,SWITCH_UPI,0.68,49885.97,SWITCH_UPI,0.68,49885.97
124,INSUFFICIENT_FUNDS,UPI,273275,0.58,NO_ACTION,0.58,55474.825,NUDGE,0.6,57187.75,SWITCH_DEBIT_CARD,0.62,59250.675,SWITCH_DEBIT_CARD,0.62,59250.675,SWITCH_DEBIT_CARD,0.62,59250.675,SWITCH_DEBIT_CARD,0.62,59250.675
125,AUTHENTICATION_FAILURE,UPI,210734,0.82,NO_ACTION,0.82,60480.65799999999,NUDGE,0.88,64706.07199999999,NO_ACTION,0.82,60480.65799999999,NUDGE,0.88,64706.07199999999,NUDGE,0.88,64706.07199999999,NUDGE,0.88,64706.07199999999
126,USER_CANCELLED,UPI,307833,0.74,NO_ACTION,0.74,79728.74699999999,NUDGE,0.82,88148.07099999998,NO_ACTION,0.74,79728.74699999999,NUDGE,0.82,88148.07099999998,NUDGE,0.82,88148.07099999998,NUDGE,0.82,88148.07099999998
127,USER_CANCELLED,UPI,116731,0.62,NO_ACTION,0.62,25330.627,NUDGE,0.68,27581.978000000003,NUDGE,0.68,27581.978000000003,NUDGE,0.68,27581.978000000003,NUDGE,0.68,27581.978000000003,NUDGE,0.68,27581.978000000003
128,AUTHENTICATION_FAILURE,UPI,161893,0.8,NO_ACTION,0.8,45330.04,NUDGE,0.86,48529.793,NO_ACTION,0.8,45330.04,NUDGE,0.86,48529.793,NUDGE,0.86,48529.793,NUDGE,0.86,48529.793
129,USER_CANCELLED,DEBIT_CARD,118580,0.64,NO_ACTION,0.64,26561.920000000002,NO_ACTION,0.64,26561.920000000002,NO_ACTION,0.64,26561.920000000002,OFFER_5,0.64,22767.36,NO_ACTION,0.64,26561.920000000002,SWITCH_UPI,0.66,27341.98
130,AUTHENTICATION_FAILURE,UPI,214378,0.82,NO_ACTION,0.82,61526.48599999999,NUDGE,0.8,59825.84,NO_ACTION,0.82,61526.48599999999,NUDGE,0.8,59825.84,NUDGE,0.8,59825.84,NO_ACTION,0.82,61526.48599999999
131,USER_CANCELLED,UPI,80958,0.7,NO_ACTION,0.7,19834.71,NO_ACTION,0.7,19834.71,NO_ACTION,0.7,19834.71,NO_ACTION,0.7,19834.71,NO_ACTION,0.7,19834.71,NO_ACTION,0.7,19834.71
132,INSTRUMENT_UNAVAILABLE,CREDIT_CARD,109125,0.32,NO_ACTION,0.32,12222.0,NO_ACTION,0.32,12222.0,NO_ACTION,0.32,12222.0,SWITCH_DEBIT_CARD,0.54,20574.625,SWITCH_DEBIT_CARD,0.54,20574.625,SWITCH_UPI,0.54,20574.625
133,AUTHENTICATION_FAILURE,UPI,40803,0.76,NO_ACTION,0.76,10853.598,NO_ACTION,0.76,10853.598,NO_ACTION,0.76,10853.598,SWITCH_CREDIT_CARD,0.84,11946.081999999999,SWITCH_CREDIT_CARD,0.84,11946.081999999999,SWITCH_CREDIT_CARD,0.84,11946.081999999999
134,ISSUER_DECLINED,UPI,100952,0.5,NO_ACTION,0.5,17666.6,NUDGE,0.64,22413.248,NO_ACTION,0.5,17666.6,OFFER_5,0.5,15142.8,SWITCH_NETBANKING,0.46,16203.271999999999,NUDGE,0.64,22413.248
135,INSUFFICIENT_FUNDS,UPI,120654,0.4,NO_ACTION,0.4,16891.559999999998,NUDGE,0.5,20914.449999999997,SWITCH_NETBANKING,0.48,20219.871999999996,NO_ACTION,0.4,16891.559999999998,NO_ACTION,0.4,16891.559999999998,SWITCH_DEBIT_CARD,0.5,21064.449999999997
136,AUTHENTICATION_FAILURE,UPI,49391,0.7,NO_ACTION,0.7,12100.794999999998,NO_ACTION,0.7,12100.794999999998,NO_ACTION,0.7,12100.794999999998,OFFER_5,0.7,10372.109999999999,NO_ACTION,0.7,12100.794999999998,NO_ACTION,0.7,12100.794999999998
137,USER_CANCELLED,UPI,75094,0.78,NO_ACTION,0.78,20500.662,NUDGE,0.9,23454.609999999997,NUDGE,0.9,23454.609999999997,NUDGE,0.9,23454.609999999997,NUDGE,0.9,23454.609999999997,NUDGE,0.9,23454.609999999997
138,INSUFFICIENT_FUNDS,UPI,449087,0.56,NO_ACTION,0.56,88021.052,NO_ACTION,0.56,88021.052,NO_ACTION,0.56,88021.052,SWITCH_DEBIT_CARD,0.62,97401.87899999999,SWITCH_DEBIT_CARD,0.62,97401.87899999999,SWITCH_DEBIT_CARD,0.62,97401.87899999999
139,AUTHENTICATION_FAILURE,UPI,489029,0.86,NO_ACTION,0.86,147197.729,NO_ACTION,0.86,147197.729,NO_ACTION,0.86,147197.729,SWITCH_NETBANKING,0.84,143724.52599999998,SWITCH_NETBANKING,0.84,143724.52599999998,NO_ACTION,0.86,147197.729
140,INSUFFICIENT_FUNDS,UPI,204639,0.48,NO_ACTION,0.48,34379.352,NO_ACTION,0.48,34379.352,NO_ACTION,0.48,34379.352,SWITCH_DEBIT_CARD,0.62,44356.66299999999,SWITCH_DEBIT_CARD,0.62,44356.66299999999,SWITCH_DEBIT_CARD,0.62,44356.66299999999
141,USER_CANCELLED,CREDIT_CARD,168550,0.72,NO_ACTION,0.72,42474.59999999999,NO_ACTION,0.72,42474.59999999999,NO_ACTION,0.72,42474.59999999999,NO_ACTION,0.72,42474.59999999999,NO_ACTION,0.72,42474.59999999999,NO_ACTION,0.72,42474.59999999999
142,AUTHENTICATION_FAILURE,UPI,339438,0.64,NO_ACTION,0.64,76034.112,NO_ACTION,0.64,76034.112,NO_ACTION,0.64,76034.112,NO_ACTION,0.64,76034.112,NO_ACTION,0.64,76034.112,NO_ACTION,0.64,76034.112
143,ISSUER_DECLINED,UPI,177482,0.4,NO_ACTION,0.4,24847.48,NO_ACTION,0.4,24847.48,NO_ACTION,0.4,24847.48,SWITCH_DEBIT_CARD,0.42,26039.854,SWITCH_DEBIT_CARD,0.42,26039.854,SWITCH_DEBIT_CARD,0.42,26039.854
144,AUTHENTICATION_FAILURE,UPI,167072,0.78,NO_ACTION,0.78,45610.656,NO_ACTION,0.78,45610.656,NO_ACTION,0.78,45610.656,SWITCH_DEBIT_CARD,0.76,44391.152,SWITCH_DEBIT_CARD,0.76,44391.152,NO_ACTION,0.78,45610.656
145,ISSUER_DECLINED,NETBANKING,54524,0.46,NO_ACTION,0.46,8778.364,NO_ACTION,0.46,8778.364,NO_ACTION,0.46,8778.364,SWITCH_DEBIT_CARD,0.58,11018.371999999998,SWITCH_DEBIT_CARD,0.58,11018.371999999998,SWITCH_DEBIT_CARD,0.58,11018.371999999998
146,AUTHENTICATION_FAILURE,UPI,212550,0.68,NO_ACTION,0.68,50586.9,NO_ACTION,0.68,50586.9,NO_ACTION,0.68,50586.9,OFFER_5,0.68,43360.200000000004,SWITCH_DEBIT_CARD,0.7,52024.75,SWITCH_DEBIT_CARD,0.7,52024.75
147,USER_CANCELLED,UPI,34484,0.52,NO_ACTION,0.52,6276.088,NO_ACTION,0.52,6276.088,NO_ACTION,0.52,6276.088,NO_ACTION,0.52,6276.088,NO_ACTION,0.52,6276.088,SWITCH_DEBIT_CARD,0.54,6467.476000000001
148,USER_CANCELLED,UPI,60962,0.52,NO_ACTION,0.52,11095.083999999999,NO_ACTION,0.52,11095.083999999999,NO_ACTION,0.52,11095.083999999999,OFFER_5,0.52,9510.072,NO_ACTION,0.52,11095.083999999999,NO_ACTION,0.52,11095.083999999999
149,AUTHENTICATION_FAILURE,UPI,73848,0.74,NO_ACTION,0.74,19126.631999999998,NUDGE,0.74,18926.631999999998,NO_ACTION,0.74,19126.631999999998,NUDGE,0.74,18926.631999999998,NUDGE,0.74,18926.631999999998,NO_ACTION,0.74,19126.631999999998
150,INSUFFICIENT_FUNDS,UPI,126137,0.58,NO_ACTION,0.58,25605.810999999998,NUDGE,0.48,20991.016,SWITCH_CREDIT_CARD,0.58,25555.810999999998,SWITCH_DEBIT_CARD,0.58,25555.810999999998,SWITCH_DEBIT_CARD,0.58,25555.810999999998,NO_ACTION,0.58,25605.810999999998
151,INSUFFICIENT_FUNDS,CREDIT_CARD,94418,0.4,NO_ACTION,0.4,13218.519999999999,NO_ACTION,0.4,13218.519999999999,NO_ACTION,0.4,13218.519999999999,SWITCH_UPI,0.52,17134.075999999997,SWITCH_UPI,0.52,17134.075999999997,SWITCH_UPI,0.52,17134.075999999997
152,INSUFFICIENT_FUNDS,UPI,224185,0.28,NO_ACTION,0.28,21970.13,NO_ACTION,0.28,21970.13,NO_ACTION,0.28,21970.13,SWITCH_DEBIT_CARD,0.36,28197.309999999998,SWITCH_DEBIT_CARD,0.36,28197.309999999998,SWITCH_DEBIT_CARD,0.36,28197.309999999998
153,ISSUER_DECLINED,UPI,131857,0.58,NO_ACTION,0.58,26766.970999999998,NUDGE,0.6,27489.969999999998,NO_ACTION,0.58,26766.970999999998,OFFER_5,0.6,23734.26,SWITCH_DEBIT_CARD,0.56,25793.972,NUDGE,0.6,27489.969999999998
154,AUTHENTICATION_FAILURE,UPI,125842,0.7,NO_ACTION,0.7,30831.289999999997,NUDGE,0.8,35035.76,NO_ACTION,0.7,30831.289999999997,NUDGE,0.8,35035.76,NUDGE,0.8,35035.76,NUDGE,0.8,35035.76
155,AUTHENTICATION_FAILURE,UPI,240565,0.78,NO_ACTION,0.78,65674.245,NO_ACTION,0.78,65674.245,NO_ACTION,0.78,65674.245,SWITCH_DEBIT_CARD,0.74,62256.335,SWITCH_DEBIT_CARD,0.74,62256.335,NO_ACTION,0.78,65674.245
156,USER_CANCELLED,NETBANKING,493556,0.54,NO_ACTION,0.54,93282.08399999999,NO_ACTION,0.54,93282.08399999999,NO_ACTION,0.54,93282.08399999999,NO_ACTION,0.54,93282.08399999999,NO_ACTION,0.54,93282.08399999999,NO_ACTION,0.54,93282.08399999999
157,INSUFFICIENT_FUNDS,CREDIT_CARD,194303,0.62,NO_ACTION,0.62,42163.751000000004,NO_ACTION,0.62,42163.751000000004,NO_ACTION,0.62,42163.751000000004,SWITCH_DEBIT_CARD,0.7,47554.235,SWITCH_DEBIT_CARD,0.7,47554.235,SWITCH_UPI,0.7,47554.235
158,ISSUER_DECLINED,UPI,92892,0.66,NO_ACTION,0.66,21458.052,NO_ACTION,0.66,21458.052,NO_ACTION,0.66,21458.052,SWITCH_DEBIT_CARD,0.66,21408.052,NO_ACTION,0.66,21458.052,NO_ACTION,0.66,21458.052
159,ISSUER_DECLINED,UPI,84472,0.52,NO_ACTION,0.52,15373.903999999999,NUDGE,0.62,18130.424,NUDGE,0.62,18130.424,SWITCH_NETBANKING,0.48,14141.295999999998,SWITCH_NETBANKING,0.48,14141.295999999998,NUDGE,0.62,18130.424
160,INSUFFICIENT_FUNDS,UPI,118942,0.34,NO_ACTION,0.34,14154.098,NO_ACTION,0.34,14154.098,SWITCH_DEBIT_CARD,0.48,19932.255999999998,SWITCH_DEBIT_CARD,0.48,19932.255999999998,SWITCH_DEBIT_CARD,0.48,19932.255999999998,SWITCH_CREDIT_CARD,0.48,19932.255999999998
161,AUTHENTICATION_FAILURE,CREDIT_CARD,184474,0.78,NO_ACTION,0.78,50361.401999999995,NO_ACTION,0.78,50361.401999999995,NO_ACTION,0.78,50361.401999999995,OFFER_5,0.78,43166.916,SWITCH_UPI,0.74,47728.765999999996,NO_ACTION,0.78,50361.401999999995
162,INSUFFICIENT_FUNDS,UPI,165977,0.16,NO_ACTION,0.16,9294.712,NUDGE,0.16,9094.712,NO_ACTION,0.16,9294.712,OFFER_5,0.16,7966.896,NO_ACTION,0.16,9294.712,NO_ACTION,0.16,9294.712
163,USER_CANCELLED,UPI,72038,0.72,NO_ACTION,0.72,18153.575999999997,NO_ACTION,0.72,18153.575999999997,NO_ACTION,0.72,18153.575999999997,NO_ACTION,0.72,18153.575999999997,NO_ACTION,0.72,18153.575999999997,NO_ACTION,0.72,18153.575999999997
164,USER_CANCELLED,UPI,192869,0.62,NO_ACTION,0.62,41852.573,NUDGE,0.76,51103.153999999995,NUDGE,0.76,51103.153999999995,NUDGE,0.76,51103.153999999995,NUDGE,0.76,51103.153999999995,NUDGE,0.76,51103.153999999995
165,INSUFFICIENT_FUNDS,CREDIT_CARD,273413,0.42,NO_ACTION,0.42,40191.710999999996,NUDGE,0.5,47647.274999999994,SWITCH_UPI,0.6,57366.72999999999,SWITCH_DEBIT_CARD,0.5,47797.274999999994,SWITCH_DEBIT_CARD,0.5,47797.274999999994,SWITCH_UPI,0.6,57366.72999999999
166,USER_CANCELLED,UPI,665223,0.4,NO_ACTION,0.4,93131.22,NUDGE,0.56,130183.708,NUDGE,0.56,130183.708,NUDGE,0.56,130183.708,NUDGE,0.56,130183.708,NUDGE,0.56,130183.708
167,USER_CANCELLED,UPI,239573,0.68,NO_ACTION,0.68,57018.373999999996,NUDGE,0.74,61849.40699999999,NUDGE,0.74,61849.40699999999,NUDGE,0.74,61849.40699999999,NUDGE,0.74,61849.40699999999,NUDGE,0.74,61849.40699999999
168,USER_CANCELLED,UPI,229555,0.48,NO_ACTION,0.48,38565.24,NO_ACTION,0.48,38565.24,NO_ACTION,0.48,38565.24,NO_ACTION,0.48,38565.24,NO_ACTION,0.48,38565.24,NO_ACTION,0.48,38565.24
169,AUTHENTICATION_FAILURE,UPI,50684,0.7,NO_ACTION,0.7,12417.579999999998,NO_ACTION,0.7,12417.579999999998,NO_ACTION,0.7,12417.579999999998,NO_ACTION,0.7,12417.579999999998,NO_ACTION,0.7,12417.579999999998,NO_ACTION,0.7,12417.579999999998
170,ISSUER_DECLINED,CREDIT_CARD,347570,0.5,NO_ACTION,0.5,60824.74999999999,NUDGE,0.64,77655.68,NUDGE,0.64,77655.68,SWITCH_DEBIT_CARD,0.64,77805.68,SWITCH_DEBIT_CARD,0.64,77805.68,SWITCH_UPI,0.64,77805.68
171,AUTHENTICATION_FAILURE,UPI,143308,0.76,NO_ACTION,0.76,38119.928,NUDGE,0.74,36916.772,NO_ACTION,0.76,38119.928,NUDGE,0.74,36916.772,NUDGE,0.74,36916.772,NO_ACTION,0.76,38119.928
172,INSUFFICIENT_FUNDS,UPI,266692,0.46,NO_ACTION,0.46,42937.412000000004,NUDGE,0.62,57672.164,SWITCH_CREDIT_CARD,0.5,46621.1,SWITCH_CREDIT_CARD,0.5,46621.1,SWITCH_CREDIT_CARD,0.5,46621.1,NUDGE,0.62,57672.164
173,TECHNICAL_FAILURE,UPI,129397,0.66,NO_ACTION,0.66,29890.707,NO_ACTION,0.66,29890.707,NO_ACTION,0.66,29890.707,NO_ACTION,0.66,29890.707,NO_ACTION,0.66,29890.707,SWITCH_CREDIT_CARD,0.7,31652.264999999996
174,AUTHENTICATION_FAILURE,UPI,129235,0.62,NO_ACTION,0.62,28043.995,NO_ACTION,0.62,28043.995,NO_ACTION,0.62,28043.995,SWITCH_CREDIT_CARD,0.56,25280.06,SWITCH_CREDIT_CARD,0.56,25280.06,NO_ACTION,0.62,28043.995
175,AUTHENTICATION_FAILURE,CREDIT_CARD,239136,0.4,NO_ACTION,0.4,33479.04,NUDGE,0.6,50018.55999999999,NO_ACTION,0.4,33479.04,NUDGE,0.6,50018.55999999999,NUDGE,0.6,50018.55999999999,NUDGE,0.6,50018.55999999999
176,TECHNICAL_FAILURE,CREDIT_CARD,406794,0.8,NO_ACTION,0.8,113902.32,NO_ACTION,0.8,113902.32,NO_ACTION,0.8,113902.32,NO_ACTION,0.8,113902.32,NO_ACTION,0.8,113902.32,NO_ACTION,0.8,113902.32
177,AUTHENTICATION_FAILURE,UPI,333551,0.86,NO_ACTION,0.86,100398.851,NUDGE,0.84,97863.99399999999,NO_ACTION,0.86,100398.851,NUDGE,0.84,97863.99399999999,NUDGE,0.84,97863.99399999999,NO_ACTION,0.86,100398.851
178,USER_CANCELLED,UPI,707143,0.54,NO_ACTION,0.54,133650.027,NO_ACTION,0.54,133650.027,NO_ACTION,0.54,133650.027,OFFER_5,0.54,114557.166,NO_ACTION,0.54,133650.027,SWITCH_CREDIT_CARD,0.58,143500.02899999998
179,ISSUER_DECLINED,UPI,172616,0.42,NO_ACTION,0.42,25374.552,NUDGE,0.5,30007.8,NUDGE,0.5,30007.8,OFFER_10,0.42,18124.68,SWITCH_NETBANKING,0.5,30157.8,SWITCH_NETBANKING,0.5,30157.8
180,USER_CANCELLED,CREDIT_CARD,258391,0.68,NO_ACTION,0.68,61497.058,NO_ACTION,0.68,61497.058,NO_ACTION,0.68,61497.058,OFFER_10,0.68,43926.47,NO_ACTION,0.68,61497.058,SWITCH_DEBIT_CARD,0.7,63255.79499999999
181,AUTHENTICATION_FAILURE,UPI,248548,0.74,NO_ACTION,0.74,64373.93199999999,NO_ACTION,0.74,64373.93199999999,NO_ACTION,0.74,64373.93199999999,OFFER_5,0.74,55177.655999999995,SWITCH_CREDIT_CARD,0.7,60844.25999999999,NO_ACTION,0.74,64373.93199999999
182,INSUFFICIENT_FUNDS,UPI,122250,0.38,NO_ACTION,0.38,16259.25,NO_ACTION,0.38,16259.25,SWITCH_CREDIT_CARD,0.38,16209.25,SWITCH_DEBIT_CARD,0.38,16209.25,SWITCH_DEBIT_CARD,0.38,16209.25,NO_ACTION,0.38,16259.25
183,ISSUER_DECLINED,UPI,418406,0.56,NO_ACTION,0.56,82007.576,NUDGE,0.58,84736.41799999998,NO_ACTION,0.56,82007.576,SWITCH_CREDIT_CARD,0.56,81957.576,SWITCH_CREDIT_CARD,0.56,81957.576,NUDGE,0.58,84736.41799999998
184,AUTHENTICATION_FAILURE,UPI,92116,0.78,NO_ACTION,0.78,25147.668,NO_ACTION,0.78,25147.668,NO_ACTION,0.78,25147.668,SWITCH_CREDIT_CARD,0.74,23808.043999999998,SWITCH_CREDIT_CARD,0.74,23808.043999999998,NO_ACTION,0.78,25147.668
185,ISSUER_DECLINED,DEBIT_CARD,243743,0.54,NO_ACTION,0.54,46067.426999999996,NUDGE,0.54,45867.426999999996,NUDGE,0.54,45867.426999999996,NUDGE,0.54,45867.426999999996,NUDGE,0.54,45867.426999999996,SWITCH_NETBANKING,0.6,51136.02999999999
186,AUTHENTICATION_FAILURE,UPI,107834,0.78,NO_ACTION,0.78,29438.681999999997,NUDGE,0.78,29238.681999999997,NO_ACTION,0.78,29438.681999999997,SWITCH_CREDIT_CARD,0.82,30898.357999999993,SWITCH_CREDIT_CARD,0.82,30898.357999999993,SWITCH_CREDIT_CARD,0.82,30898.357999999993
